"","mill.dt2","mill.q3","mill.ro"
"1",2017-09-20 12:00:00,19.1791440640553,2.49124939655367e-05
"2",2017-09-20 12:15:00,19.074896949749,2.47770835636227e-05
"3",2017-09-20 12:30:00,18.9411309896967,2.46033300498336e-05
"4",2017-09-20 12:45:00,18.9262866102748,2.45840481407174e-05
"5",2017-09-20 13:00:00,18.8298884974725,2.44588330948605e-05
"6",2017-09-20 13:15:00,18.82247974988,2.44492096007633e-05
"7",2017-09-20 13:30:00,18.7336472062817,2.4333821750349e-05
"8",2017-09-20 13:45:00,18.6671106395972,2.42473949624548e-05
"9",2017-09-20 14:00:00,18.5932695580186,2.41514800721401e-05
"10",2017-09-20 14:15:00,18.4605906192761,2.39791385302164e-05
"11",2017-09-20 14:30:00,18.4090749919768,2.39122229916534e-05
"12",2017-09-20 14:45:00,18.394364659604,2.38931152011677e-05
"13",2017-09-20 15:00:00,18.3649552263025,2.38549142091315e-05
"14",2017-09-20 15:15:00,18.4826827675956,2.40078348322962e-05
"15",2017-09-20 15:30:00,18.5047833240335,2.40365420559896e-05
"16",2017-09-20 15:45:00,18.4458671933782,2.39600137320706e-05
"17",2017-09-20 16:00:00,18.4017193579268,2.39026684886854e-05
"18",2017-09-20 16:15:00,18.3355607755203,2.38167326784393e-05
"19",2017-09-20 16:30:00,18.4311475071304,2.39408937914936e-05
"20",2017-09-20 16:45:00,18.3723061803572,2.38644626330818e-05
"21",2017-09-20 17:00:00,18.4605906192761,2.39791385302164e-05
"22",2017-09-20 17:15:00,18.3355607755203,2.38167326784393e-05
"23",2017-09-20 17:30:00,18.1521854506112,2.35785397403202e-05
"24",2017-09-20 17:45:00,18.512152044019,2.40461135567593e-05
"25",2017-09-20 18:00:00,18.3649552263025,2.38549142091315e-05
"26",2017-09-20 18:15:00,18.3208691712997,2.37976492146378e-05
"27",2017-09-20 18:30:00,18.3282145048654,2.38071903379288e-05
"28",2017-09-20 18:45:00,15.2649787365396,1.98282409990761e-05
"29",2017-09-20 19:00:00,11.3123074658486,1.46939712501258e-05
"30",2017-09-20 19:15:00,11.2367887992124,1.45958772830239e-05
"31",2017-09-20 19:30:00,10.7870758948128,1.40117286901743e-05
"32",2017-09-20 19:45:00,10.3555013301109,1.34511406523084e-05
"33",2017-09-20 20:00:00,10.3555013301109,1.34511406523084e-05
"34",2017-09-20 20:15:00,10.5582590366835,1.37145100771684e-05
"35",2017-09-20 20:30:00,10.1600870140154,1.31973098267904e-05
"36",2017-09-20 20:45:00,9.85713571564076,1.28037952691333e-05
"37",2017-09-20 21:00:00,9.98401963620275,1.29686094493056e-05
"38",2017-09-20 21:15:00,10.5890888990183,1.37545561165959e-05
"39",2017-09-20 21:30:00,10.5274578009881,1.36745012219332e-05
"40",2017-09-20 21:45:00,10.361627097152,1.34590976358911e-05
"41",2017-09-20 22:00:00,10.3493767162326,1.34431851666113e-05
"42",2017-09-20 22:15:00,10.2454349551028,1.33081713991427e-05
"43",2017-09-20 22:30:00,10.3800113147762,1.34829775707356e-05
"44",2017-09-20 22:45:00,10.4475087793445,1.35706525041493e-05
"45",2017-09-20 23:00:00,10.4045397342067,1.35148384347557e-05
"46",2017-09-20 23:15:00,9.97796584004824,1.29607459513484e-05
"47",2017-09-20 23:30:00,7.45369160088574,9.68187351885267e-06
"48",2017-09-20 23:45:00,5.03057784388363,6.53440214851875e-06
"49",2017-09-21 00:00:00,5.67585237545607,7.3725729146501e-06
"50",2017-09-21 00:15:00,5.58000489380133,7.24807310379511e-06
"51",2017-09-21 00:30:00,5.75188747719514,7.47133769825657e-06
"52",2017-09-21 00:45:00,5.7315799724488,7.44495953519784e-06
"53",2017-09-21 01:00:00,5.6809113558583,7.37914420992384e-06
"54",2017-09-21 01:15:00,5.6859717706059,7.3857173683214e-06
"55",2017-09-21 01:30:00,5.56994594724576,7.23500716902094e-06
"56",2017-09-21 01:45:00,5.50971375286679,7.15676936164093e-06
"57",2017-09-21 02:00:00,5.55989277935086,7.22194874036116e-06
"58",2017-09-21 02:15:00,5.12822985637971,6.66124593069725e-06
"59",2017-09-21 02:30:00,7.78701159596863,1.01148350909834e-05
"60",2017-09-21 02:45:00,12.0312755164553,1.56278652321686e-05
"61",2017-09-21 03:00:00,15.9840943933625,2.07623267122492e-05
"62",2017-09-21 03:15:00,15.4663812998391,2.00898501786143e-05
"63",2017-09-21 03:30:00,15.4733411896239,2.00988906348352e-05
"64",2017-09-21 03:45:00,15.7595528515194,2.04706614644417e-05
"65",2017-09-21 04:00:00,15.8787146585524,2.06254451080036e-05
"66",2017-09-21 04:15:00,15.9489431669989,2.07166674945209e-05
"67",2017-09-21 04:30:00,15.9911275938812,2.07714623944724e-05
"68",2017-09-21 04:45:00,15.9700309470983,2.07440591858664e-05
"69",2017-09-21 05:00:00,16.4503906904842,2.13680160824005e-05
"70",2017-09-21 05:15:00,15.7525522353398,2.04615681072124e-05
"71",2017-09-21 05:30:00,15.7735570535645,2.04888520363346e-05
"72",2017-09-21 05:45:00,15.9138165821445,2.0671040284553e-05
"73",2017-09-21 06:00:00,15.8646807987023,2.06072160124995e-05
"74",2017-09-21 06:15:00,15.8927524673717,2.06436793329686e-05
"75",2017-09-21 06:30:00,15.927864257842,2.06892873259681e-05
"76",2017-09-21 06:45:00,15.9770621777157,2.07531923093123e-05
"77",2017-09-21 07:00:00,16.0263083640458,2.08171599877278e-05
"78",2017-09-21 07:15:00,15.9630007016678,2.07349273421158e-05
"79",2017-09-21 07:30:00,15.9419158780759,2.07075394910863e-05
