Date.Time,Q.cfs
1/9/2018 17:30,6.433
1/21/2018 23:15,2.452
1/22/2018 21:00,13.527
1/24/2018 20:15,8.215
3/13/2018 21:30,3.254
3/14/2018 19:15,4.38
3/20/2018 23:15,5.052
3/23/2018 0:00,12.01
4/7/2018 20:00,52.274
4/8/2018 18:15,10.074
9/26/2018 22:45,0.072
2/4/2019 22:15,10.764
